BC_ID,BC_MaxPressure,Brake_energy_cyl,Brake_energy_pipe,Brake_power_cyl,Brake_power_delay,Brake_power_pipe,Brake_timing_cyl,Brake_timing_pipe,Buildup_end_pressure_delay,Buildup_energy_cyl,Buildup_energy_pipe,Buildup_gradient_cyl,Buildup_gradient_pipe,Buildup_power_cyl,Buildup_power_pipe,Buildup_timing_cyl,Buildup_timing_pipe,DS_Error,End_brake_speed,End_brake_time_cyl,End_brake_time_pipe,End_buildup_time_pipe,End_release_time_pipe,Energy_ratio,First_phase_energy,First_phase_energy_1hz,First_phase_error,First_phase_first_gradient,First_phase_first_gradient_1hz,First_phase_half_time_ratio,First_phase_half_time_ratio_1hz,First_phase_inflection_point,First_phase_inflection_point_1hz,First_phase_max_gradient,First_phase_max_gradient_1hz,First_phase_mean_curvature,First_phase_mean_curvature_1hz,First_phase_power,First_phase_power_1hz,First_phase_timing,First_phase_timing_1hz,First_phase_timing_half,First_phase_timing_half_1hz,GPS_Lat_last,GPS_Long_last,GPS_NumSamples,GPS_Speed_mean,GPS_Speed_RPM_mean,Holding_energy_cyl,Holding_energy_pipe,Holding_power_cyl,Holding_power_pipe,Holding_timing_cyl,Holding_timing_pipe,MBP_ID,Max_pressure_cyl,Max_pressure_pipe,Mean_delay_exp,Mean_pipe,Power_ratio,Release_energy_cyl,Release_energy_pipe,Release_gradient_cyl,Release_gradient_pipe,Release_power_cyl,Release_power_delay,Release_power_pipe,Release_start_pressure_delay,Release_timing_cyl,Release_timing_pipe,Speed_difference,Speed_gradient,Start_brake_speed,Start_brake_time_cyl,Start_brake_time_pipe,Start_buildup_time_pipe,Start_release_time_pipe,Std_delay_exp,Std_pipe,Total_energy_efficiency,Total_energy_delay,Total_power_cyl,Total_power_delay,Total_power_efficiency,Total_power_normalized,Total_power_pipe,Total_power_weighted,WV_ID,WV_MeanPressure,BC_AlreadyEngagedStart,BC_BadStart,BC_FlatStartNearZero,BC_LowBraking,BC_NormalBraking,BC_PhaseClassification_error,BC_ReleasingAtStart,BC_SensorError,BC_StartAboveThresh,BC_braketiming_error,Consecutive_braking_pipe,EmergencyBrake,EmergencyBrake_action,GPS_SensorError,Gateway_CB_Error,Gateway_VB_Error,MBP_PhaseClassification_error,MBP_Sensor_error,MBP_braketiming_error,Non_Standard_Braking,SV_Error,UB_Error,UR_Error,WV_SensorError,LeakageLabel
0x7,,,11.4102057332831,,,1.05163186481871,,10.85,,,3.9892762060568,,0.229554075570311,,0.778395357279375,,5.125,,0.0,NaT,05-Jun-2025 08:40:42,05-Jun-2025 08:40:36,05-Jun-2025 08:41:08,,,,,,,,,,,,,,,,,,,,,,,0,,,,7.42092952722626,,1.29623223182991,,5.725,0xc0,,1.32437540210962,,0.97383956757429,,,25.2376552566924,,-0.0218289950104437,,,0.943463747913735,,,26.75,0.0,0.0,0.0,NaT,05-Jun-2025 08:40:31,05-Jun-2025 08:40:31,05-Jun-2025 08:40:42,,0.242235633552103,,,,,,,0.974677153988709,,0x9a,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Healthy
0x3b,,,11.4102057332831,,,1.05163186481871,,10.85,,,3.9892762060568,,0.229554075570311,,0.778395357279375,,5.125,,0.0,NaT,05-Jun-2025 08:40:42,05-Jun-2025 08:40:36,05-Jun-2025 08:41:08,,,,,,,,,,,,,,,,,,,,,,,0,,,,7.42092952722626,,1.29623223182991,,5.725,0xc0,,1.32437540210962,,0.97383956757429,,,25.2376552566924,,-0.0218289950104437,,,0.943463747913735,,,26.75,0.0,0.0,0.0,NaT,05-Jun-2025 08:40:31,05-Jun-2025 08:40:31,05-Jun-2025 08:40:42,,0.242235633552103,,,,,,,0.974677153988709,,0xcf,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Healthy
0x7,1.06776577833292,126.5039671149,528.564011154004,1.03184312491762,0.063688511575733,0.968154613341888,122.6,545.95,-0.389489469910937,1.66716778414688,358.165176365861,0.173118507986164,0.0031226472171588,0.740963459620837,0.828462791570835,2.25,432.325,1.0,0.0,05-Jun-2025 12:01:23,05-Jun-2025 12:01:29,05-Jun-2025 11:59:35,05-Jun-2025 12:02:20,0.243995674966449,,,0.0,,,,,,,,,,,,,,,,,,,0,,,124.836799330753,170.398834788142,1.03728125742213,1.49965971210686,120.35,113.625,0xc0,1.06776577833292,4.8686007108901,-0.731385117699022,1.33776222357528,1.08045536143623,7.95797480328531,22.5192895507125,-0.043282549314364,-0.0282199494182882,0.648307519615911,0.209335013754069,0.438972505861842,-0.566193005619828,12.275,51.3,0.0,0.0,0.0,05-Jun-2025 11:59:20,05-Jun-2025 11:52:23,05-Jun-2025 11:52:23,05-Jun-2025 12:01:29,-0.975882786473883,1.23278422457782,0.59271999577245,-416.62135878653,0.996937474833628,0.273023525329802,2.5426584097414,0.557647627549213,0.922701215076963,0.796639467927447,0x9a,0.7,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,Healthy
0x3b,1.0575509824796,125.044673058103,528.564011154004,1.0409546144275,0.072800001085611,0.968154613341888,120.125,545.95,-0.416025241439081,1.5884223671243,358.165176365861,0.169126128212919,0.0031226472171588,0.730309134310022,0.828462791570835,2.175,432.325,1.0,0.0,05-Jun-2025 12:01:13,05-Jun-2025 12:01:29,05-Jun-2025 11:59:35,05-Jun-2025 12:02:20,0.244028183870357,,,0.0,,,,,,,,,,,,,,,,,,,0,,,123.456250690979,170.398834788142,1.04668292234827,1.49965971210686,117.95,113.625,0xc0,1.0575509824796,4.8686007108901,-0.738448499953613,1.33776222357528,1.08887435798708,9.43518397415063,22.5192895507125,-0.0438417411556485,-0.0282199494182882,0.687445098298771,0.248472592436928,0.438972505861842,-0.495667057287454,13.725,51.3,0.0,0.0,0.0,05-Jun-2025 11:59:13,05-Jun-2025 11:52:23,05-Jun-2025 11:52:23,05-Jun-2025 12:01:29,-0.966771052701713,1.23278422457782,0.655556633746468,-416.603443672462,1.00470569318083,0.321272593522539,2.6412268460181,0.573723788790078,0.922701215076963,0.717154735987597,0xcf,0.8,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,Healthy
0x7,0.0477960684094325,,1.64624911220045,,,0.339432806639269,,4.85,,,0.823316203418713,,0.132168355278251,,0.279090238447021,,2.95,0.0,0.0,NaT,05-Jun-2025 12:13:08,05-Jun-2025 12:13:06,05-Jun-2025 12:13:15,,,,0.0,,,,,,,,,,,,,,,,,,,0,,,,0.822932908781742,,0.433122583569338,,1.9,0xc0,0.0469109861513973,0.444419223499104,-0.252200134266351,0.255474078735671,,,1.4017026032733,,-0.0518534087085501,,,0.198823064294085,,,7.05,0.0,0.0,0.0,NaT,05-Jun-2025 12:13:03,05-Jun-2025 12:13:03,05-Jun-2025 12:13:08,-0.110304983304973,0.128742449238418,,,,,,,0.256130396258298,,0x9a,0.7,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Healthy
0x3b,-0.0094330399898674,,1.64624911220045,,,0.339432806639269,,4.85,,,0.823316203418713,,0.132168355278251,,0.279090238447021,,2.95,0.0,0.0,NaT,05-Jun-2025 12:13:08,05-Jun-2025 12:13:06,05-Jun-2025 12:13:15,,,,0.0,,,,,,,,,,,,,,,,,,,0,,,,0.822932908781742,,0.433122583569338,,1.9,0xc0,-0.0094330399898674,0.444419223499104,-0.267419846184824,0.255474078735671,,,1.4017026032733,,-0.0518534087085501,,,0.198823064294085,,,7.05,0.0,0.0,0.0,NaT,05-Jun-2025 12:13:03,05-Jun-2025 12:13:03,05-Jun-2025 12:13:08,-0.127281204839286,0.128742449238418,,,,,,,0.256130396258298,,0xcf,0.7,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Healthy
0x7,0.619445054049988,,7.81368979648145,,,0.588601867908207,,13.275,,,5.3537359846081,,0.0759663642006817,,0.514782306212317,,10.4,0.0,0.0,NaT,05-Jun-2025 12:21:55,05-Jun-2025 12:21:52,05-Jun-2025 12:22:13,,,,0.0,,,,,,,,,,,,,,,,,,,0,,,,2.45995381187335,,0.855636108477687,,2.875,0xc0,0.619445054049988,0.889996902350465,-0.254167046245182,0.445574791073802,,,6.33310472209297,,-0.0440193532670382,,,0.343257708514524,,,18.45,0.0,0.0,0.0,NaT,05-Jun-2025 12:21:42,05-Jun-2025 12:21:42,05-Jun-2025 12:21:55,-0.0645888746836598,0.271588564596125,,,,,,,0.445919448970037,,0x9a,0.7,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Healthy
0x3b,0.288255891264843,,7.81368979648145,,,0.588601867908207,,13.275,,,5.3537359846081,,0.0759663642006817,,0.514782306212317,,10.4,0.0,0.0,NaT,05-Jun-2025 12:21:55,05-Jun-2025 12:21:52,05-Jun-2025 12:22:13,,,,0.0,,,,,,,,,,,,,,,,,,,0,,,,2.45995381187335,,0.855636108477687,,2.875,0xc0,0.28765019340368,0.889996902350465,-0.402579669403029,0.445574791073802,,,6.33310472209297,,-0.0440193532670382,,,0.343257708514524,,,18.45,0.0,0.0,0.0,NaT,05-Jun-2025 12:21:42,05-Jun-2025 12:21:42,05-Jun-2025 12:21:55,-0.183781376910949,0.271588564596125,,,,,,,0.445919448970037,,0xcf,0.7,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Healthy
0x7,0.58984753887178,,7.85846941854962,,,0.576768397691715,,13.625,,,4.99836025783224,,0.0737969037476329,,0.497349279386293,,10.05,0.0,0.0,NaT,05-Jun-2025 12:24:35,05-Jun-2025 12:24:32,05-Jun-2025 12:25:01,,,,0.0,,,,,,,,,,,,,,,,,,,0,,,,2.86010916071738,,0.800030534466399,,3.575,0xc0,0.58984753887178,0.835659662804245,-0.226819376046905,0.367132886454918,,,6.43861855445204,,-0.0299215882099325,,,0.254490851954626,,,25.3,0.0,0.0,0.0,NaT,05-Jun-2025 12:24:22,05-Jun-2025 12:24:22,05-Jun-2025 12:24:35,-0.0702520834725859,0.263412251523419,,,,,,,0.367298342273646,,0x9a,0.7,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Healthy
0x3b,0.263941815486716,,7.85846941854962,,,0.576768397691715,,13.625,,,4.99836025783224,,0.0737969037476329,,0.497349279386293,,10.05,0.0,0.0,NaT,05-Jun-2025 12:24:35,05-Jun-2025 12:24:32,05-Jun-2025 12:25:01,,,,0.0,,,,,,,,,,,,,,,,,,,0,,,,2.86010916071738,,0.800030534466399,,3.575,0xc0,0.263531692401466,0.835659662804245,-0.339367711731664,0.367132886454918,,,6.43861855445204,,-0.0299215882099325,,,0.254490851954626,,,25.3,0.0,0.0,0.0,NaT,05-Jun-2025 12:24:22,05-Jun-2025 12:24:22,05-Jun-2025 12:24:35,-0.190189932774797,0.263412251523419,,,,,,,0.367298342273646,,0xcf,0.7,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Healthy
